t_Ve,Ve,,t_Vc,Vc
0.0002820770747592561,9.975358590748954,,0.0002820770747592561,6.073726224418911
0.0002821770747592561,9.975258435354533,,0.0002821770747592561,6.078664521394691
0.0002822770747592561,9.975158487295067,,0.0002822770747592561,6.083622828715793
0.00028237707475925613,9.975058747030282,,0.00028237707475925613,6.088601104869251
0.00028247707475925613,9.974959215018396,,0.00028247707475925613,6.093599308250305
0.00028257707475925613,9.974859891716127,,0.00028257707475925613,6.098617397162705
0.00028267707475925614,9.974760777578679,,0.00028267707475925614,6.103655329819009
0.00028277707475925614,9.974661873059745,,0.00028277707475925614,6.108713064340883
0.00028287707475925614,9.974563178611504,,0.00028287707475925614,6.1137905587594
0.00028297707475925614,9.974464694684624,,0.00028297707475925614,6.11888777101536
0.00028307707475925615,9.974366421728256,,0.00028307707475925615,6.124004658959572
0.00028317707475925615,9.97426836019003,,0.00028317707475925615,6.12914118035317
0.00028327707475925615,9.974170510516057,,0.00028327707475925615,6.134297292867917
0.00028337707475925615,9.974072873150932,,0.00028337707475925615,6.139472954086499
0.00028347707475925616,9.973975448537722,,0.00028347707475925616,6.144668121502844
0.00028357707475925616,9.973878237117967,,0.00028357707475925616,6.149882752522409
0.00028367707475925616,9.973781239331688,,0.00028367707475925616,6.155116804462502
0.00028377707475925616,9.973684455617372,,0.00028377707475925616,6.160370234552583
0.00028387707475925616,9.973587886411979,,0.00028387707475925616,6.1656429999345574
0.00028397707475925617,9.973491532150936,,0.00028397707475925617,6.170935057663101
0.00028407707475925617,9.973395393268142,,0.00028407707475925617,6.176246364705952
0.00028417707475925617,9.973299470195952,,0.00028417707475925617,6.181576877944225
0.0002842770747592562,9.973203763365198,,0.0002842770747592562,6.186926554172715
0.0002843770747592562,9.973108273205161,,0.0002843770747592562,6.192295350100205
0.0002844770747592562,9.973013000143593,,0.0002844770747592562,6.19768322234978
0.0002845770747592562,9.972917944606701,,0.0002845770747592562,6.203090127459119
0.0002846770747592562,9.972823107019147,,0.0002846770747592562,6.208516021880826
0.0002847770747592562,9.972728487804055,,0.0002847770747592562,6.213960861982718
0.0002848770747592562,9.972634087383,,0.0002848770747592562,6.219424604048146
0.0002849770747592562,9.97253990617601,,0.0002849770747592562,6.2249072042763
0.0002850770747592562,9.972445944601565,,0.0002850770747592562,6.230408618782515
0.0002851770747592562,9.972352203076598,,0.0002851770747592562,6.235928803598588
0.0002852770747592562,9.972258682016484,,0.0002852770747592562,6.241467714673089
0.0002853770747592562,9.972165381835053,,0.0002853770747592562,6.247025307871662
0.0002854770747592562,9.972072302944575,,0.0002854770747592562,6.252601538977344
0.0002855770747592562,9.971979445755764,,0.0002855770747592562,6.258196363690872
0.0002856770747592562,9.97188681067778,,0.0002856770747592562,6.2638097376309965
0.0002857770747592562,9.971794398118224,,0.0002857770747592562,6.26944161633479
0.0002858770747592562,9.971702208483133,,0.0002858770747592562,6.275091955257965
0.0002859770747592562,9.971610242176986,,0.0002859770747592562,6.28076070977518
0.0002860770747592562,9.971518499602698,,0.0002860770747592562,6.286447835180353
0.0002861770747592562,9.971426981161619,,0.0002861770747592562,6.292153286686975
0.0002862770747592562,9.971335687253532,,0.0002862770747592562,6.29787701942843
0.0002863770747592562,9.971244618276657,,0.0002863770747592562,6.303618988458296
0.00028647707475925623,9.971153774627641,,0.00028647707475925623,6.309379148750662
0.00028657707475925623,9.971063156701563,,0.00028657707475925623,6.315157455200451
0.00028667707475925623,9.97097276489193,,0.00028667707475925623,6.320953862623723
0.00028677707475925624,9.970882599590679,,0.00028677707475925624,6.326768325757995
0.00028687707475925624,9.970792661188167,,0.00028687707475925624,6.332600799262557
0.00028697707475925624,9.970702950073182,,0.00028697707475925624,6.338451237718778
0.00028707707475925624,9.970613466632933,,0.00028707707475925624,6.344319595630433
0.00028717707475925625,9.97052421125305,,0.00028717707475925625,6.350205827424013
0.00028727707475925625,9.970435184317585,,0.00028727707475925625,6.356109887449037
0.00028737707475925625,9.970346386209009,,0.00028737707475925625,6.362031729978374
0.00028747707475925625,9.97025781730821,,0.00028747707475925625,6.367971309208556
0.00028757707475925625,9.970169477994498,,0.00028757707475925625,6.373928579260099
0.00028767707475925626,9.970081368645591,,0.00028767707475925626,6.37990349417781
0.00028777707475925626,9.969993489637627,,0.00028777707475925626,6.385896007931116
0.00028787707475925626,9.969905841345156,,0.00028787707475925626,6.391906074414374
0.00028797707475925626,9.96981842414114,,0.00028797707475925626,6.397933647447185
0.00028807707475925627,9.969731238396951,,0.00028807707475925627,6.403978680774723
0.00028817707475925627,9.969644284482372,,0.00028817707475925627,6.410041128068045
0.00028827707475925627,9.969557562765592,,0.00028827707475925627,6.416120942924411
0.0002883770747592563,9.96947107361321,,0.0002883770747592563,6.422218078867597
0.0002884770747592563,9.969384817390228,,0.0002884770747592563,6.428332489348223
0.0002885770747592563,9.969298794460057,,0.0002885770747592563,6.434464127744071
0.0002886770747592563,9.969213005184507,,0.0002886770747592563,6.4406129473603935
0.0002887770747592563,9.969127449923795,,0.0002887770747592563,6.4467789014302435
0.0002888770747592563,9.969042129036536,,0.0002888770747592563,6.4529619431147935
0.0002889770747592563,9.968957042879747,,0.0002889770747592563,6.459162025503653
